date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
2007-03-10,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,1,20,16,6,6,30,30,220,211
2007-03-11,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,1,20,16,6,6,30,30,220,211
2007-03-12,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-13,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-14,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-15,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-16,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,1,20,22,7,7,30,30,220,211
2007-03-17,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,1,20,22,7,7,30,30,220,211
2007-03-18,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-19,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-20,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-21,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-22,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-23,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-24,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-25,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-26,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-27,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-28,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-29,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-30,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-03-31,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,2,23,16,5,5,46,46,220,211
2007-04-01,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,2,23,16,5,5,46,46,220,211
2007-04-02,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,2,23,16,5,5,46,46,220,211
2007-04-03,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-04,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-05,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-06,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-07,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-08,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-09,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-10,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-11,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-12,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-13,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-14,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0.4739336492891,5,17,32,3,3,85,85,220,211
2007-04-15,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-16,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-17,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-18,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-19,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-20,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-21,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-22,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
2007-04-23,42,Great Smoky Mountains,ELKMONT CAMPGROUND,0,0,0,0,0,0,0,0,220,211
