date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites,month
2007-04-19,7,Shenandoah,BIG MEADOWS,0.150829562594269,1,0,8,12,1,0,0,221,221,2007-04-01
2007-05-01,7,Shenandoah,BIG MEADOWS,33.6447233980441,2.86954025009114,14.284210760211,32.539404312534,9926,2.91093501437379,0,1380.51741154658,221,221,2007-05-01
2007-06-01,7,Shenandoah,BIG MEADOWS,54.5098039215686,3.5311381450809,16.6624695739445,35.3591636602322,15473,3.54275796320874,6083.5,1672.79816494021,221,221,2007-06-01
2007-07-01,7,Shenandoah,BIG MEADOWS,65.8589986863232,3.46820231076071,16.9313668386337,38.014546220622,20277,3.59908106211067,14200,1787.36428077366,221,221,2007-07-01
2007-08-01,7,Shenandoah,BIG MEADOWS,59.713910378047,3.27129109825367,16.7151821619971,40.6361697016779,18714,3.72234682515995,6465,1687.12013928904,221,221,2007-08-01
2007-09-01,7,Shenandoah,BIG MEADOWS,48.0693815987934,3.41604541914606,16.1722576181096,35.6350206845891,13833,3.31913289466369,11395,1590.91278889452,221,221,2007-09-01
2007-10-01,7,Shenandoah,BIG MEADOWS,50.7663114873741,2.83212292989187,14.0969156954038,49.1955198793536,15571,3.0170470812755,1720,1313.2151575382,221,221,2007-10-01
2007-11-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2007-11-01
2007-12-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2007-12-01
2008-01-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2008-01-01
2008-02-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2008-02-01
2008-03-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2008-03-01
2008-04-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2008-04-01
2008-05-01,7,Shenandoah,BIG MEADOWS,34.3161582250766,2.47418257595127,12.5930951865963,44.0002594076681,10228,2.86010088509265,0,1175.00459230367,221,221,2008-05-01
2008-06-01,7,Shenandoah,BIG MEADOWS,51.553544494721,3.40092446493933,16.3417933068045,51.1337063761721,16011,3.67733783501577,7480,1635.84616512885,221,221,2008-06-01
2008-07-01,7,Shenandoah,BIG MEADOWS,55.5539337323019,3.64048330030839,16.6973925106851,52.9403464002701,17887,3.76504641096129,5395,1830.18017672574,221,221,2008-07-01
2008-08-01,7,Shenandoah,BIG MEADOWS,55.9188439643848,3.42827646613343,16.8329562658682,51.37143852078,18554,3.81217876331658,10220,1721.28921026997,221,221,2008-08-01
2008-09-01,7,Shenandoah,BIG MEADOWS,37.1644042232278,3.37330803776197,14.8135783246142,42.3567477708011,10595,3.33822762691554,9205,1546.5160404473,221,221,2008-09-01
2008-10-01,7,Shenandoah,BIG MEADOWS,43.5264924828492,2.98199727308699,12.3733790578549,62.2003007964317,13951,2.86957953011898,3320,1275.28936668673,221,221,2008-10-01
2008-11-01,7,Shenandoah,BIG MEADOWS,0,0,0,0,0,0,0,0,221,221,2008-11-01
