date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
2007-03-31,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3,0,44,7,3.5,0,0,281,281
2007-04-01,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3,0,44,7,3.5,0,0,281,281
2007-04-02,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3,0,44,7,3.5,0,0,281,281
2007-04-03,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3,0,44,7,3.5,0,0,281,281
2007-04-04,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-05,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-06,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-07,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-08,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-09,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-10,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-11,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-12,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-13,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-14,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-15,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-16,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-17,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-18,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-19,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-20,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-21,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-22,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-23,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-24,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-25,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-26,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-27,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-28,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-29,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-04-30,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281
2007-05-01,11,Acadia,BLACKWOODS CAMPGROUND,0.355871886120996,1,20,61,1,1,20,20,281,281
2007-05-02,11,Acadia,BLACKWOODS CAMPGROUND,0.355871886120996,1,20,61,1,1,20,20,281,281
2007-05-03,11,Acadia,BLACKWOODS CAMPGROUND,0.355871886120996,3,20,7,6,3,120,60,281,281
2007-05-04,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.66666666666667,13.3333333333333,18.4166666666667,39,3.25,580,48.3333333333333,281,281
2007-05-05,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.66666666666667,14.6666666666667,19.8666666666667,56,3.73333333333333,740,49.3333333333333,281,281
2007-05-06,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.76470588235294,15.2941176470588,17.8823529411765,59,3.47058823529412,880,51.7647058823529,281,281
2007-05-07,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3.84615384615385,20,20.1538461538462,44,3.38461538461538,1000,76.9230769230769,281,281
2007-05-08,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,4.38461538461539,19.6153846153846,15.6153846153846,39,3,1100,84.6153846153846,281,281
2007-05-09,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,4.07692307692308,18.8461538461538,18.6153846153846,33,2.53846153846154,990,76.1538461538462,281,281
2007-05-10,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,3.68421052631579,19.2105263157895,20.5789473684211,57,3,1330,70,281,281
2007-05-11,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.78947368421053,18.8157894736842,27.6842105263158,161,4.23684210526316,2020,53.1578947368421,281,281
2007-05-12,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.64444444444444,18.5555555555556,29.7333333333333,179,3.97777777777778,2190,48.6666666666667,281,281
2007-05-13,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.84615384615385,18.5897435897436,33.974358974359,150,3.84615384615385,2070,53.0769230769231,281,281
2007-05-14,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,4.35294117647059,17.3529411764706,30.3529411764706,40,2.35294117647059,1350,79.4117647058824,281,281
2007-05-15,11,Acadia,BLACKWOODS CAMPGROUND,1.42348754448399,3.59090909090909,15.6818181818182,20.6818181818182,50,2.27272727272727,1350,61.3636363636364,281,281
2007-05-16,11,Acadia,BLACKWOODS CAMPGROUND,1.77935943060498,3.625,15.2083333333333,21.375,56,2.33333333333333,1500,62.5,281,281
2007-05-17,11,Acadia,BLACKWOODS CAMPGROUND,1.77935943060498,3.36363636363636,14.2424242424242,26.5757575757576,91,2.75757575757576,1880,56.969696969697,281,281
2007-05-18,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.79032258064516,13.8709677419355,35.4354838709677,248,4,3020,48.7096774193548,281,281
2007-05-19,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.70886075949367,14.6835443037975,34.8607594936709,324,4.10126582278481,3800,48.1012658227848,281,281
2007-05-20,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,2.64556962025316,14.6835443037975,33.2658227848101,315,3.9873417721519,3700,46.8354430379747,281,281
2007-05-21,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,3.22727272727273,17.7272727272727,29.8181818181818,141,3.20454545454545,2680,60.9090909090909,281,281
2007-05-22,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,3.75675675675676,18.7387387387387,27.2432432432432,108,2.91891891891892,2700,72.972972972973,281,281
2007-05-23,11,Acadia,BLACKWOODS CAMPGROUND,1.06761565836299,4.02564102564103,18.5470085470086,38.7948717948718,111,2.84615384615385,2960,75.8974358974359,281,281
2007-05-24,11,Acadia,BLACKWOODS CAMPGROUND,1.42348754448399,4.36507936507936,18.2275132275132,45.6825396825397,200,3.17460317460317,5070,80.4761904761905,281,281
2007-05-25,11,Acadia,BLACKWOODS CAMPGROUND,1.77935943060498,3.50649350649351,17.9112554112554,47.4545454545455,531,3.44805194805195,9860,64.025974025974,281,281
2007-05-26,11,Acadia,BLACKWOODS CAMPGROUND,1.77935943060498,3.34673366834171,17.9949748743719,44.8190954773869,693,3.48241206030151,12100,60.8040201005025,281,281
2007-05-27,11,Acadia,BLACKWOODS CAMPGROUND,1.77935943060498,3.32984293193717,17.9109947643979,45.1832460732984,665,3.48167539267016,11500,60.2094240837696,281,281
