date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites,month
2007-03-01,65,Grand Canyon,MATHER CAMPGROUND,52.7161920773353,1.97202907517215,15.9434234790029,10.1718736622275,15829,2.5761301282967,126,991.186930124876,328,307,2007-03-01
2007-04-01,65,Grand Canyon,MATHER CAMPGROUND,86.6123778501629,2.17737717288432,15.8484821448302,19.4470771444726,34348,2.97371911993596,14687,1045.06098858843,328,307,2007-04-01
2007-05-01,65,Grand Canyon,MATHER CAMPGROUND,95.5658295681413,2.22218918915331,15.9959082767901,29.8438216086007,42352,3.15813244999246,11626,1087.70377231727,328,307,2007-05-01
2007-06-01,65,Grand Canyon,MATHER CAMPGROUND,99.1313789359392,2.32685230825632,16.0364428666416,38.6918102209494,50203,3.5211744831195,16987,1114.8929763784,328,307,2007-06-01
2007-07-01,65,Grand Canyon,MATHER CAMPGROUND,101.807292213933,2.28216688572987,16.2920164056089,43.4031737735946,61121,3.90606973968412,19071,1133.58453952155,328,307,2007-07-01
2007-08-01,65,Grand Canyon,MATHER CAMPGROUND,94.935378795839,2.13189552137541,16.8043217623655,37.2794847397987,53074,3.74784275502407,18593,1109.30440026922,328,307,2007-08-01
2007-09-01,65,Grand Canyon,MATHER CAMPGROUND,91.0206297502715,2.09748568271933,16.3598221524259,24.6873669319856,37351,3.03429453930711,17387,1016.3752634492,328,307,2007-09-01
2007-10-01,65,Grand Canyon,MATHER CAMPGROUND,63.4023326678575,2.21140568871858,16.3562714516963,17.918290897017,22242,2.73624202341353,7631,1096.11925987375,328,307,2007-10-01
2007-11-01,65,Grand Canyon,MATHER CAMPGROUND,23.7459283387622,1.78001725439701,13.4161347276781,14.195566506907,6594,2.31264384312845,4673,868.93672765943,328,307,2007-11-01
2007-12-01,65,Grand Canyon,MATHER CAMPGROUND,0,0,0,0,0,0,0,0,328,307,2007-12-01
2008-01-01,65,Grand Canyon,MATHER CAMPGROUND,0,0,0,0,0,0,0,0,328,307,2008-01-01
2008-02-01,65,Grand Canyon,MATHER CAMPGROUND,0,0,0,0,0,0,0,0,328,307,2008-02-01
2008-03-01,65,Grand Canyon,MATHER CAMPGROUND,58.4217715666702,2.15700437234822,15.6638922531402,18.071087784289,26683,3.29230515304818,416,1040.3794838562,328,307,2008-03-01
2008-04-01,65,Grand Canyon,MATHER CAMPGROUND,77.1769815418024,2.16850569446616,16.3369418615542,20.1269546668574,28007,2.94111764685021,7769,1053.46667646287,328,307,2008-04-01
2008-05-01,65,Grand Canyon,MATHER CAMPGROUND,100.420300514868,2.19489138027523,16.0525215735431,32.6031163511031,48690,3.19627204077702,14917,1086.0613721295,328,307,2008-05-01
2008-06-01,65,Grand Canyon,MATHER CAMPGROUND,100.933767643865,2.34943488312218,15.2940445171066,46.4561053844458,58184,3.68594969277101,18307,1087.59704289666,328,307,2008-06-01
2008-07-01,65,Grand Canyon,MATHER CAMPGROUND,103.772197120942,2.19920249637589,15.614144458096,51.6267082655494,67768,3.96126285116296,19752,1086.85953464772,328,307,2008-07-01
2008-08-01,65,Grand Canyon,MATHER CAMPGROUND,101.239886518861,2.05091664686114,16.1328958677914,42.5709908308419,58912,3.68358524484148,19641,1051.32310982456,328,307,2008-08-01
2008-09-01,65,Grand Canyon,MATHER CAMPGROUND,96.0043431053204,2.05748486947592,16.2166845818823,27.0655701991295,38189,2.82899874056366,16401.5,1005.29534399847,328,307,2008-09-01
2008-10-01,65,Grand Canyon,MATHER CAMPGROUND,68.4564463591468,2.06104769616792,15.8132739274359,19.861876932868,25771,2.79558858429254,9965,1033.8187604164,328,307,2008-10-01
2008-11-01,65,Grand Canyon,MATHER CAMPGROUND,28.3821932681868,2.04547327471023,15.0678918445133,13.7164706742341,8187,2.61026717966171,4404,935.943303819612,328,307,2008-11-01
2008-12-01,65,Grand Canyon,MATHER CAMPGROUND,0.346747924766206,0.075268817204301,0.404692082111436,0.481915933528836,82,0.0801564027370481,981,29.7272727272727,328,307,2008-12-01
2009-01-01,65,Grand Canyon,MATHER CAMPGROUND,0,0,0,0,0,0,0,0,328,307,2009-01-01
